 Gainesville,178000.0,976
 Fort Walton Beach,175000.0,1423
 Visalia,172000.0,488
 Turlock,171000.0,143
 Gastonia,170000.0,1014
 Gilroy,169000.0,221
 Waco,168000.0,1195
 Deltona,168000.0,1067
 Brownsville,167000.0,568
 Muskegon,166000.0,989
 Vallejo,165000.0,464
 Fredericksburg,164000.0,761
 Tracy,164000.0,86
 Texas City,163000.0,899
 Santa Cruz,163000.0,444
 Merced,163000.0,338
 Killeen,159000.0,581
 Danbury ,158000.0,825
 Olympia,158000.0,750
 Manchester,156000.0,833
 Arecibo,156000.0,587
 Springfield,154000.0,1008
 Cedar Rapids,154000.0,999
 Spartanburg,154000.0,1180
 Medford,154000.0,797
 Clarksville ,151000.0,703
 Petaluma,151000.0,121
 Topeka,150000.0,1063
 New Bedford,149000.0,680
 Manteca,149000.0,103
 Panama City,148000.0,1319
 Concord,148000.0,996
 Fargo,147000.0,603
 Vero Beach,146000.0,1028
 Hagerstown ,145000.0,494
 College Station,144000.0,751
 Saginaw,142000.0,844
 Racine,140000.0,573
 Sioux Falls,140000.0,947
 North Port,139000.0,2121
 Pueblo,137000.0,1124
 Santa Maria,136000.0,339
 Burlington,135000.0,689
 Frederick,134000.0,625
 Lake Charles,133000.0,862
 Fairfield,133000.0,355
 Avondale,133000.0,599
 Yuba City,132000.0,556
 Athens,132000.0,791
 Tuscaloosa,131000.0,781
 Myrtle Beach,131000.0,774
 Ocala,130000.0,1306
 Macon,129000.0,921
 Kenosha,129000.0,534
 Portsmouth,129000.0,866
 Redding,128000.0,645
 Leesburg,128000.0,913
 Duluth ,127000.0,904
 Simi Valley,127000.0,327
 Houma,126000.0,565
 South Lyon,126000.0,686
 Eau Claire,125000.0,841
 Champaign,124000.0,555
 Seaside,124000.0,520
 Brooksville,123000.0,1266
 Greeley,121000.0,595
 San German,121000.0,571
 Yakima,120000.0,739
 Abilene,117000.0,897
 Lynchburg,117000.0,749
 Burlington,117000.0,720
 Yauco,117000.0,445
 Mayaguez,116000.0,459
 Chico,116000.0,352
 Jacksonville,116000.0,324
 Leominster,115000.0,725
 Hanford,115000.0,227
 Monroe,114000.0,811
 Middletown,113000.0,493
 Waterloo,112000.0,817
 Fort Smith ,112000.0,1156
 Bloomington,112000.0,638
 Madera,112000.0,98
 Kingston,111000.0,717
 Nampa,111000.0,553
 Billings,109000.0,635
 Camarillo,109000.0,183
 Sioux City ,108000.0,724
 Johnson City,108000.0,978
 Warner Robins,107000.0,672
 Kingsport ,106000.0,923
 Yuma ,106000.0,388
 Gainesville,106000.0,756
 La Crosse ,105000.0,654
 Greenville,105000.0,503
 Wichita Falls,103000.0,836
 Grand Junction,103000.0,675
 Holland,102000.0,535
 St. Cloud,101000.0,468
 Midland,100000.0,742
 Harlingen,100000.0,508
 Lafayette,100000.0,407
 Elkhart ,100000.0,797
 Boulder,99000.0,420
 Anniston,99000.0,1209
 Jackson,98000.0,569
 Vacaville,98000.0,340
 Decatur,97000.0,684
 Vineland,97000.0,661
 Columbia,97000.0,507
 Wausau,97000.0,676
 Tyler,96000.0,743
 El Centro,96000.0,143
 Springfield,95000.0,482
 Rochester,95000.0,488
 Odessa,94000.0,1035
 Kailua,94000.0,276
 Wheeling ,93000.0,564
 Lawton,93000.0,454
 Port Huron,93000.0,541
 Bellingham,93000.0,464
 Hattiesburg,91000.0,598
 St. George,91000.0,714
 Lawrence,90000.0,429
 Charlottesville,90000.0,335
 Muncie,88000.0,594
 Albany,88000.0,725
 Logan,88000.0,782
 Lompoc,88000.0,153
 Fairbanks,88000.0,508
 San Angelo,87000.0,616
 Lodi,87000.0,291
 Altoona,86000.0,494
