"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,
Population (number of persons) 1/,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
13900,"Bismarck, ND (Metropolitan Statistical Area)",101289,102340,103201,104211,105942,107861,109742,111282,113143,115277,117384,120254,124035,126754,129717,131635
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)*",167434,167498,168270,169018,170990,173039,174908,176348,177535,178523,178893,179560,180875,181429,181701,182876
14010,"Bloomington, IL (Metropolitan Statistical Area)",169505,172555,174481,175767,177015,179717,181965,183558,185265,186445,187336,189057,191162,190086,188933,188644
14020,"Bloomington, IN (Metropolitan Statistical Area)",143650,144707,146835,148549,150096,152548,154352,156164,157840,160140,161712,162673,163110,164466,165066,166336
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",82592,82838,83240,83511,83718,83996,84303,84735,85385,85671,85289,85342,85463,85366,84944,84763
14260,"Boise City, ID (Metropolitan Statistical Area)",486078,499994,512491,525975,546980,570583,590330,603218,611341,618025,627610,637527,649653,664024,675777,691423
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",4432132,4440034,4434723,4424956,4418046,4427356,4447838,4483141,4527220,4565907,4608410,4652011,4696293,4734711,4766755,4794447
14500,"Boulder, CO (Metropolitan Statistical Area)*",300137,279468,278768,279728,280241,284243,287428,290859,293190,295983,300597,305350,310287,313204,318738,322226
14540,"Bowling Green, KY (Metropolitan Statistical Area)",136901,138510,140921,143044,145918,149324,151710,154513,156978,159155,160761,162207,164114,165942,168620,171122
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",234513,238129,239758,241960,239806,245054,244105,246912,248800,251735,254451,254729,253114,254272,260514,264811
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",889063,892900,896342,897472,897653,896254,897498,903824,910421,919750,928890,934931,940621,943686,944674,944177
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",342368,350194,358492,366299,373429,380169,386306,393000,400303,407629,412937,415445,417260,419191,419893,422135
15260,"Brunswick, GA (Metropolitan Statistical Area)",95052,96612,98180,99879,101532,104715,107334,109579,111343,112540,113031,113407,113872,114750,116022,116784
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",1165067,1161678,1159918,1156070,1148563,1141712,1137678,1136364,1135377,1135709,1135817,1135633,1136417,1137186,1135479,1132804
15500,"Burlington, NC (Metropolitan Statistical Area)",133346,135239,136009,137619,139311,141462,144712,147704,149954,151486,152847,153659,154622,156036,157857,159688
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",201361,203052,204201,205652,206637,207426,208232,209332,210435,211554,212890,214006,215223,216537,217273,217365
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",87455,89819,92333,94900,96871,98849,100599,101921,103273,105752,107781,109071,109607,110483,111628,112587
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",406256,406039,406046,405960,405168,405343,405939,406140,405127,404295,403159,403394,403270,403751,402655,401281
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",461037,478889,497662,522431,555029,582678,604716,610984,612297,620590,630543,644096,660085,678048,700285,722336
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",91226,91694,91840,92734,93173,94167,94616,95031,95634,96443,97064,97278,97286,97589,97514,97443
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",121267,121086,121792,122841,123881,124594,124719,125279,125893,126819,127031,125755,126980,126643,126809,126430
16180,"Carson City, NV (Metropolitan Statistical Area)",53472,54503,55234,55995,55982,55410,55288,55552,55401,55025,54738,54540,53989,54385,54405,54742
16220,"Casper, WY (Metropolitan Statistical Area)",66978,67554,68246,69035,69922,70806,72365,73682,75238,75474,76410,78602,81092,81432,82191,81039
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",240145,242099,243272,245108,247265,249524,252709,255503,256896,258408,260882,261705,262295,263734,265850,267799
